be were
have had
do did
say said
go went
get got
make made
know knew
think thought
take took
see saw
come came
want wanted
use used
find found
give gave
tell told
work worked
call called
try tried
ask asked
need needed
feel felt
become became
leave left
put put
mean meant
keep kept
let let
begin began
seem seemed
help helped
show showed
hear heard
play played
run ran
move moved
live lived
believe believed
bring brought
happen happened
write wrote
sit sat
stand stood
lose lost
pay paid
meet met
include included
continue continued
set set
learn learned
change changed
lead led
understand understood
watch watched
follow followed
stop stopped
create created
speak spoke
read read
spend spent
grow grew
open opened
walk walked
win won
teach taught
offer offered
remember remembered
consider considered
appear appeared
buy bought
serve served
die died
send sent
build built
stay stayed
fall fell
cut cut
reach reached
kill killed
raise raised
pass passed
sell sold
decide decided
return returned
explain explained
hope hoped
develop developed
carry carried
break broke
receive received
agree agreed
support supported
hit hit
produce produced
eat ate
cover covered
catch caught
draw drew
choose chose
